#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,"35,882,502","+6,506","819,934",+583,"27,585,493","+4,068","7,477,075","15,410",,,,,,North America,"
",,
,South America,"21,171,237",+992,"552,696",+18,"18,896,026","+1,106","1,722,515","21,166",,,,,,South America,"
",,
,Asia,"28,519,061","+28,124","428,425",+366,"26,110,798","+17,547","1,979,838","25,530",,,,,,Asia,"
",,
,Europe,"39,704,833","+95,513","915,224","+1,950","28,051,733","+64,704","10,737,876","31,368",,,,,,Europe,"
",,
,Africa,"4,252,650","+1,052","113,052",+13,"3,814,864",+759,"324,734","3,037",,,,,,Africa,"
",,
,Oceania,"57,186",+182,"1,142",,"34,576",+9,"21,468",6,,,,,,Australia/Oceania,"
",,
,,721,,15,,706,,0,0,,,,,,,"
",,
,World,"129,588,190","+132,369","2,830,488","+2,930","104,494,196","+88,193","22,263,506","96,517","16,625",363.1,,,,All,"
",,
1,USA,"31,166,344",,"565,256 ",,"23,673,462",,"6,927,626","8,759","93,747","1,700","403,326,884","1,213,186","332,452,650 ",North America,11,588,1
2,Brazil,"12,753,258",,"321,886 ",,"11,169,937",,"1,261,435","8,318","59,682","1,506","28,600,000","133,840","213,687,606 ",South America,17,664,7
3,India,"12,221,665",+996,"162,960 ",,"11,474,683","+2,189","584,022","8,944","8,792",117,"244,798,621","176,098","1,390,123,549 ",Asia,114,"8,530",6
4,France,"4,644,423",,"95,640 ",,"294,638",,"4,254,145","5,053","71,036","1,463","63,999,096","978,855","65,381,564 ",Europe,14,684,1
5,Russia,"4,554,264","+9,169","99,233 ",+383,"4,176,419","+10,247","278,612","2,300","31,198",680,"120,600,000","826,133","145,981,306 ",Europe,32,"1,471",1
6,UK,"4,345,788",,"126,713 ",,"3,847,351",,"371,724",568,"63,766","1,859","126,220,810","1,852,036","68,152,475 ",Europe,16,538,1
7,Italy,"3,584,899",,"109,346 ",,"2,913,045",,"562,508","3,710","59,357","1,811","49,902,657","826,268","60,395,224 ",Europe,17,552,1
8,Turkey,"3,317,182",,"31,537 ",,"3,014,226",,"271,419","2,082","39,018",371,"38,578,057","453,776","85,015,665 ",Asia,26,"2,696",2
9,Spain,"3,284,353",,"75,459 ",,"3,042,352",,"166,542","1,831","70,226","1,613","42,707,830","913,178","46,768,335 ",Europe,14,620,1
